Row 0:
  Domain 9: centroid = 73.00, value = 1, length = 1
  Domain 10: centroid = 74.00, value = 0, length = 1
  Domain 11: centroid = 75.50, value = 1, length = 2
  Domain 12: centroid = 77.50, value = 0, length = 2
  Domain 13: centroid = 80.00, value = 1, length = 3
  Domain 14: centroid = 104.00, value = 0, length = 45
  Domain 15: centroid = 127.00, value = 1, length = 1

Row 18:
  Domain 0: centroid = 0.00, value = 1, length = 1
  Domain 1: centroid = 4.00, value = 0, length = 7
  Domain 2: centroid = 10.00, value = 1, length = 5
  Domain 3: centroid = 13.00, value = 0, length = 1
  Domain 4: centroid = 42.50, value = 1, length = 58
  Domain 5: centroid = 72.00, value = 0, length = 1
  Domain 6: centroid = 74.00, value = 1, length = 3
  Domain 7: centroid = 76.00, value = 0, length = 1
  Domain 8: centroid = 77.50, value = 1, length = 2
  Domain 9: centroid = 79.00, value = 0, length = 1
  Domain 10: centroid = 81.50, value = 1, length = 4
  Domain 11: centroid = 105.50, value = 0, length = 44

Row 19:
  Domain 0: centroid = 0.00, value = 1, length = 1
  Domain 1: centroid = 1.50, value = 0, length = 2
  Domain 2: centroid = 3.00, value = 1, length = 1
  Domain 3: centroid = 5.00, value = 0, length = 3
  Domain 4: centroid = 36.50, value = 1, length = 60
  Domain 5: centroid = 67.00, value = 0, length = 1
  Domain 6: centroid = 68.00, value = 1, length = 1
  Domain 7: centroid = 69.00, value = 0, length = 1
  Domain 8: centroid = 71.50, value = 1, length = 4
  Domain 9: centroid = 74.00, value = 0, length = 1
  Domain 10: centroid = 75.00, value = 1, length = 1
  Domain 11: centroid = 76.00, value = 0, length = 1
  Domain 12: centroid = 77.00, value = 1, length = 1
  Domain 13: centroid = 100.50, value = 0, length = 46
  Domain 14: centroid = 124.00, value = 1, length = 1
  Domain 15: centroid = 125.00, value = 0, length = 1
  Domain 16: centroid = 126.00, value = 1, length = 1
  Domain 17: centroid = 127.00, value = 0, length = 1

Row 20:
  Domain 0: centroid = 2.00, value = 0, length = 5
  Domain 1: centroid = 36.50, value = 1, length = 64
  Domain 2: centroid = 69.00, value = 0, length = 1
  Domain 3: centroid = 70.00, value = 1, length = 1
  Domain 4: centroid = 71.00, value = 0, length = 1
  Domain 5: centroid = 72.00, value = 1, length = 1
  Domain 6: centroid = 73.50, value = 0, length = 2
  Domain 7: centroid = 75.00, value = 1, length = 1
  Domain 8: centroid = 98.00, value = 0, length = 45
  Domain 9: centroid = 121.00, value = 1, length = 1
  Domain 10: centroid = 124.00, value = 0, length = 5
  Domain 11: centroid = 127.00, value = 1, length = 1

Row 21:
  Domain 0: centroid = 0.00, value = 0, length = 5
  Domain 1: centroid = 3.50, value = 1, length = 2
  Domain 2: centroid = 6.00, value = 0, length = 3
  Domain 3: centroid = 36.50, value = 1, length = 58
  Domain 4: centroid = 66.00, value = 0, length = 1
  Domain 5: centroid = 70.00, value = 1, length = 7
  Domain 6: centroid = 74.00, value = 0, length = 1
  Domain 7: centroid = 75.00, value = 1, length = 1
  Domain 8: centroid = 76.00, value = 0, length = 1
  Domain 9: centroid = 77.00, value = 1, length = 1
  Domain 10: centroid = 101.00, value = 0, length = 47
  Domain 11: centroid = 125.00, value = 1, length = 1

Row 22:
  Domain 0: centroid = 106.00, value = 0, length = 53
  Domain 1: centroid = 5.00, value = 1, length = 1
  Domain 2: centroid = 7.00, value = 0, length = 3
  Domain 3: centroid = 15.00, value = 1, length = 13
  Domain 4: centroid = 22.00, value = 0, length = 1
  Domain 5: centroid = 51.00, value = 1, length = 57

Row 23:
  Domain 0: centroid = 119.50, value = 0, length = 42
  Domain 1: centroid = 13.00, value = 1, length = 1
  Domain 2: centroid = 14.00, value = 0, length = 1
  Domain 3: centroid = 15.00, value = 1, length = 1
  Domain 4: centroid = 17.00, value = 0, length = 3
  Domain 5: centroid = 19.50, value = 1, length = 2
  Domain 6: centroid = 21.00, value = 0, length = 1
  Domain 7: centroid = 55.50, value = 1, length = 68
  Domain 8: centroid = 93.50, value = 0, length = 8
  Domain 9: centroid = 98.00, value = 1, length = 1

Row 24:
  Domain 0: centroid = 126.00, value = 0, length = 49
  Domain 1: centroid = 55.00, value = 1, length = 65
  Domain 2: centroid = 88.00, value = 0, length = 1
  Domain 3: centroid = 89.00, value = 1, length = 1
  Domain 4: centroid = 90.00, value = 0, length = 1
  Domain 5: centroid = 92.00, value = 1, length = 3
  Domain 6: centroid = 94.00, value = 0, length = 1
  Domain 7: centroid = 95.00, value = 1, length = 1
  Domain 8: centroid = 96.50, value = 0, length = 2
  Domain 9: centroid = 98.00, value = 1, length = 1
  Domain 10: centroid = 99.50, value = 0, length = 2
  Domain 11: centroid = 101.00, value = 1, length = 1

Row 25:
  Domain 0: centroid = 126.50, value = 0, length = 50
  Domain 1: centroid = 24.00, value = 1, length = 1
  Domain 2: centroid = 25.50, value = 0, length = 2
  Domain 3: centroid = 27.00, value = 1, length = 1
  Domain 4: centroid = 28.00, value = 0, length = 1
  Domain 5: centroid = 61.50, value = 1, length = 66
  Domain 6: centroid = 95.00, value = 0, length = 1
  Domain 7: centroid = 96.50, value = 1, length = 2
  Domain 8: centroid = 98.50, value = 0, length = 2
  Domain 9: centroid = 100.50, value = 1, length = 2

Row 26:
  Domain 0: centroid = 0.50, value = 0, length = 52
  Domain 1: centroid = 27.50, value = 1, length = 2
  Domain 2: centroid = 29.00, value = 0, length = 1
  Domain 3: centroid = 63.50, value = 1, length = 68
  Domain 4: centroid = 98.50, value = 0, length = 2
  Domain 5: centroid = 100.00, value = 1, length = 1
  Domain 6: centroid = 101.00, value = 0, length = 1
